forecast_id,region,seasonality_index,discount_pct,forecast_accurate
1,B,158.42,0.037,0
2,B,306.08,0.423,1
3,D,474.09,0.446,1
4,D,136.82,0.364,0
5,B,243.39,0.298,0
6,C,296.86,0.401,1
7,C,27.06,0.035,0
8,C,348.88,0.074,1
9,A,110.07,0.338,0
10,B,125.17,0.116,0
11,D,197.82,0.356,0
12,D,456.34,0.134,1
13,C,472.55,0.185,1
14,D,334.0,0.262,1
15,B,234.81,0.051,0
16,D,357.09,0.331,1
17,D,130.13,0.174,0
18,A,119.04,0.137,0
19,A,325.28,0.234,1
20,C,195.3,0.148,0
21,D,360.71,0.244,1
22,C,168.04,0.28,0
23,C,132.44,0.03,0
24,C,475.15,0.136,1
25,C,53.69,0.256,0
26,C,375.19,0.246,1
27,A,407.03,0.132,1
28,C,35.59,0.3,0
29,D,251.01,0.231,0
30,A,32.14,0.106,0
31,C,176.45,0.181,0
32,B,402.22,0.12,1
33,B,220.36,0.316,0
34,A,262.69,0.327,0
35,A,121.72,0.364,0
36,D,232.88,0.332,0
37,D,348.63,0.07,1
38,A,135.61,0.298,0
39,C,304.31,0.173,1
40,A,471.1,0.463,1
41,C,147.91,0.286,0
42,D,332.55,0.153,1
43,D,396.19,0.04,1
44,D,50.73,0.475,0
45,A,114.25,0.449,0
46,D,215.5,0.219,0
47,A,395.43,0.497,1
48,C,246.78,0.165,0
49,C,399.84,0.031,1
50,A,292.28,0.007,1
51,D,88.55,0.119,0
52,D,34.17,0.18,0
53,B,39.49,0.155,0
54,C,264.26,0.188,0
55,A,458.08,0.422,1
56,C,33.0,0.384,0
57,B,81.46,0.381,0
58,A,432.38,0.378,1
59,D,179.49,0.206,0
60,A,11.15,0.43,0
61,B,194.18,0.268,0
62,C,292.86,0.449,1
63,B,139.75,0.269,0
64,D,498.69,0.277,1
65,B,427.65,0.245,1
66,A,402.52,0.319,1
67,D,303.07,0.409,1
68,A,255.4,0.025,0
69,A,454.27,0.151,1
70,B,43.42,0.248,0
71,A,208.63,0.188,0
72,C,340.59,0.5,1
73,B,120.72,0.057,0
74,A,272.91,0.202,0
75,A,491.08,0.022,1
76,A,311.71,0.086,1
77,A,241.04,0.074,0
78,C,478.57,0.489,1
79,A,453.06,0.432,1
80,C,142.57,0.398,0
81,A,225.92,0.113,0
82,C,61.06,0.375,0
83,D,196.78,0.275,0
84,D,57.7,0.427,0
85,A,441.53,0.225,1
86,B,425.39,0.225,1
87,D,355.85,0.441,1
88,B,90.84,0.141,0
89,A,72.58,0.496,0
90,C,103.47,0.464,0
91,B,18.04,0.406,0
92,D,457.2,0.119,1
93,C,293.65,0.488,1
94,D,250.94,0.035,0
95,A,389.95,0.153,1
96,C,190.29,0.045,0
97,C,227.02,0.235,0
98,D,147.83,0.148,0
99,C,293.5,0.154,1
100,C,38.42,0.212,0
101,A,154.96,0.233,0
102,A,435.77,0.366,1
103,D,411.89,0.398,1
104,D,223.99,0.262,0
105,B,419.84,0.299,1
106,A,217.62,0.456,0
107,D,445.96,0.452,1
108,C,73.07,0.321,0
109,C,425.3,0.491,1
110,B,142.97,0.359,0
111,D,478.04,0.348,1
112,D,372.97,0.301,1
113,A,301.45,0.133,1
114,D,434.06,0.133,1
115,C,239.11,0.041,0
116,B,280.12,0.074,1
117,A,231.73,0.456,0
118,D,129.65,0.011,0
119,A,402.41,0.321,1
120,D,458.9,0.316,1
121,C,312.78,0.376,1
122,A,126.34,0.033,0
123,A,430.38,0.169,1
124,B,143.48,0.016,0
125,B,477.47,0.003,1
126,D,253.65,0.1,0
127,D,347.93,0.263,1
128,D,381.47,0.102,1
129,D,304.48,0.245,1
130,B,91.41,0.183,0
131,D,433.29,0.212,1
132,D,239.36,0.115,0
133,B,309.23,0.448,1
134,C,68.24,0.04,0
135,B,312.64,0.3,1
136,B,310.79,0.425,1
137,C,495.71,0.388,1
138,A,61.78,0.213,0
139,B,313.25,0.162,1
140,A,366.56,0.431,1
141,D,233.15,0.333,0
142,A,152.29,0.164,0
143,A,364.37,0.376,1
144,A,118.03,0.424,0
145,A,171.92,0.494,0
146,B,175.82,0.205,0
147,C,483.76,0.276,1
148,D,471.19,0.156,1
149,C,448.15,0.296,1
150,D,272.53,0.438,0
151,D,261.56,0.268,0
152,C,342.55,0.331,1
153,B,237.17,0.052,0
154,A,489.26,0.217,1
155,D,28.72,0.467,0
156,C,251.7,0.462,0
157,A,241.64,0.065,0
158,D,251.85,0.289,0
159,B,160.7,0.084,0
160,C,403.16,0.431,1
161,C,64.08,0.383,0
162,B,499.38,0.398,1
163,B,460.08,0.206,1
164,D,321.43,0.493,1
165,D,99.81,0.013,0
166,D,248.6,0.043,0
167,B,328.93,0.048,1
168,B,98.19,0.022,0
169,C,191.83,0.256,0
170,D,94.92,0.117,0
171,A,259.84,0.445,0
172,B,59.89,0.328,0
173,B,183.36,0.291,0
174,A,147.65,0.204,0
175,A,485.84,0.062,1
176,B,348.53,0.449,1
177,D,29.53,0.279,0
178,B,448.56,0.378,1
179,C,250.41,0.097,0
180,B,148.24,0.376,0
181,A,51.16,0.456,0
182,B,210.23,0.354,0
