project_id,start_date,planned_end_date,actual_end_date,team_size,budget,tasks_completed,risk_level,client_satisfaction,delayed,success
1,2020-08-16,2020-09-21,2020-09-21,13,477821.44,121,Medium,7,0,1
2,2021-07-17,2021-10-17,2021-10-23,13,94988.71,137,Low,8,1,0
3,2021-04-02,2021-06-06,2021-06-20,4,59263.02,393,Medium,6,1,0
4,2020-07-28,2021-01-13,2020-12-10,3,496495.2,363,Medium,9,0,1
5,2020-06-27,2020-11-12,2020-11-08,12,325333.8,237,Low,3,0,0
6,2020-03-06,2020-04-12,2020-04-13,11,492453.9,180,High,7,1,0
7,2020-07-10,2020-10-03,2020-09-24,6,79273.22,138,High,2,0,0
8,2021-04-21,2021-09-27,2021-10-01,4,57184.81,389,Low,7,1,0
9,2020-02-24,2020-08-15,2020-09-12,5,424937.71,255,Low,2,1,0
10,2021-02-11,2021-07-30,2021-09-01,8,190269.98,103,Medium,6,1,0
11,2022-05-09,2022-08-03,2022-07-18,14,429028.15,211,Low,4,0,0
12,2022-07-08,2023-01-04,2023-02-01,10,464843.41,264,Medium,8,1,0
13,2021-07-23,2021-08-23,2021-09-01,7,386294.05,329,Low,9,1,0
14,2020-11-22,2021-04-09,2021-04-05,11,124370.12,376,Low,1,0,0
15,2021-11-27,2022-03-08,2022-02-27,13,52484.95,130,Medium,3,0,0
16,2020-11-14,2021-02-07,2021-03-01,9,83320.09,90,High,9,1,0
17,2021-11-20,2022-01-15,2022-01-24,9,198904.11,456,Medium,5,1,0
18,2020-07-08,2020-11-12,2020-12-12,13,336900.86,84,Low,5,1,0
19,2020-07-17,2020-11-15,2020-12-31,7,432011.22,267,Low,7,1,0
20,2021-12-05,2022-03-12,2022-02-22,12,369798.3,91,Low,3,0,0
21,2020-03-29,2020-08-23,2020-07-27,6,336384.69,145,Medium,5,0,0
22,2020-09-12,2021-01-16,2021-01-09,13,234672.32,78,Low,7,0,0
23,2020-06-10,2020-11-28,2020-11-23,4,122549.58,219,Medium,9,0,1
24,2021-08-23,2021-12-23,2021-12-06,14,255440.56,93,Low,10,0,0
25,2021-01-28,2021-03-16,2021-03-10,3,210334.03,434,Low,9,0,1
26,2020-04-03,2020-06-30,2020-07-25,9,437328.76,247,Medium,9,1,0
27,2021-08-15,2021-10-04,2021-10-08,12,361596.21,221,Low,6,1,0
28,2021-04-21,2021-06-15,2021-06-11,6,301145.9,162,Low,10,0,1
29,2022-02-17,2022-05-29,2022-07-06,4,163302.03,436,Low,1,1,0
30,2022-07-17,2022-11-17,2023-01-05,4,170051.46,179,Low,7,1,0
31,2020-11-29,2021-04-02,2021-03-28,5,458719.65,175,Low,10,0,1
32,2021-12-28,2022-03-21,2022-04-22,6,158924.87,488,Medium,1,1,0
33,2021-06-30,2021-08-17,2021-08-28,6,215502.41,147,Medium,1,1,0
34,2020-12-16,2021-05-31,2021-05-12,5,278689.45,197,Low,4,0,0
35,2021-05-16,2021-07-26,2021-07-12,5,280441.88,197,Medium,4,0,0
36,2022-08-04,2022-12-09,2023-01-24,9,228907.41,387,Medium,9,1,0
37,2021-07-06,2021-12-25,2021-12-02,12,466112.13,148,Low,10,0,1
38,2021-03-25,2021-07-16,2021-08-28,3,282486.15,51,High,5,1,0
39,2020-04-24,2020-07-21,2020-08-19,11,334895.66,282,Low,3,1,0
40,2020-03-06,2020-06-24,2020-07-28,3,232028.66,457,High,1,1,0
41,2022-04-01,2022-07-08,2022-06-27,6,454349.38,303,Low,9,0,1
42,2020-05-15,2020-08-07,2020-08-23,4,52277.71,243,Medium,9,1,0
43,2021-10-06,2021-12-29,2021-12-21,7,58133.91,353,Medium,8,0,1
44,2022-10-19,2023-02-27,2023-04-08,3,345925.8,225,Low,3,1,0
45,2022-07-28,2022-10-02,2022-10-13,8,162707.82,279,Low,6,1,0
46,2021-06-26,2021-08-30,2021-09-21,7,245477.46,335,Medium,1,1,0
47,2021-05-20,2021-11-09,2021-10-25,5,375103.45,53,Low,1,0,0
48,2021-06-22,2021-12-18,2021-11-16,7,497547.73,55,Low,9,0,0
49,2022-05-27,2022-11-22,2023-01-27,7,198837.64,144,High,1,1,0
50,2022-03-28,2022-07-28,2022-07-09,9,187563.66,210,Low,2,0,0
51,2021-03-25,2021-05-29,2021-06-06,12,471269.65,372,Medium,8,1,0
52,2022-11-09,2023-04-14,2023-04-02,9,352014.58,499,Low,10,0,1
53,2020-07-05,2020-08-16,2020-08-29,3,383345.88,442,Medium,7,1,0
54,2020-08-12,2020-10-20,2020-10-18,5,414212.52,355,High,10,0,1
55,2020-11-23,2021-04-10,2021-03-13,6,332552.49,370,Low,3,0,0
56,2020-05-10,2020-09-15,2020-09-15,4,219012.33,337,Medium,6,0,0
